company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
დრიმჰაუს დეველოპმენტი,5.0,0,open,სამშენებლო კომპანია
ინტერმშენი პირველი,5.0,0,open,უძრავი ქონების დეველოპერი
სტროი.ჯი,5.0,0,open,
ჯი აი პი ენ - ქართულ-გერმანული საპროექტო ჯგუფი,5.0,0,open,
ელექტროძრავა,5.0,0,open,სამშენებლო კომპანია
თერმოტექნიკა თთ,5.0,0,open,
აი ქეი ბი,5.0,0,found,
ე.ნ. - მშენი,5.0,0,open,სამშენებლო კომპანია
ჰიდროსაინჟინრო კომპანია,5.0,0,found,სამშენებლო კომპანია
არტ-ბონუსი,4.7,0,open,
აგორა2030,5.0,0,open,
არტ გრუპი,5.0,0,open,სამშენებლო კომპანია
ასტორია,4.3,0,found,
აღმაშენებელი 2012,5.0,3,found,
ბარსი,5.0,0,found,სამშენებლო კომპანია
ბეთლემი-2011,5.0,0,open,
გ.ი.პ – I,5.0,0,found,
გზამშენი 2005,5.0,0,found,სამშენებლო კომპანია
გოკი და კომპანია,5.0,0,found,სამშენებლო კომპანია
გრაფენი,5.0,0,open,
გუდაურმშენი,5.0,0,found,სამშენებლო კომპანია
ელვა,5.0,0,found,სამშენებლო კომპანია
ემპა კომპანი,5.0,0,found,სამშენებლო კომპანია
ეს.ელი,5.0,0,found,სამშენებლო კომპანია
ზუგდიდის საგზაო სამმართველო,5.0,0,open,
თაუნს ქონსთრაქშენ,5.0,0,open,სამშენებლო კომპანია
თისადი,5.0,0,found,სამშენებლო კომპანია
ინდიკო,5.0,0,open,სამშენებლო კომპანია
ინჟმშენი–96,5.0,0,open,სამშენებლო კომპანია
ინტერსერვის–2011,,0,found,building materials
ინტექსი,5.0,0,found,სამშენებლო კომპანია
კ-კომპანია,5.0,0,found,სამშენებლო კომპანია
კობი,,0,open,
კომპანია კავკასიონი,5.0,0,found,სამშენებლო კომპანია
კუთხე 2019,5.0,0,open,სამშენებლო კომპანია
ლავა,5.0,0,found,სამშენებლო კომპანია
მზიანი ღამე,5.0,0,found,სამშენებლო კომპანია
მოდილიონი,5.0,0,found,სამშენებლო კომპანია
მტმ,5.0,0,found,სამშენებლო კომპანია
